ticker,company_name,timestamp,last_processing_date,total_score,environment_score,social_score,governance_score,rating
MMM,3M Company,2020-01-01,2025-03-27,34.53,12.6,12.7,9.23,D
MMM,3M Company,2020-02-01,2025-03-27,34.53,12.6,12.7,9.23,D
MMM,3M Company,2020-03-01,2025-03-27,33.54,12.6,12.55,8.39,D
MMM,3M Company,2020-07-01,2025-03-27,34.75,12.79,13.89,8.07,D
MMM,3M Company,2020-08-01,2025-03-27,34.75,12.79,13.89,8.07,D
MMM,3M Company,2020-10-01,2025-03-27,34.86,12.79,14.0,8.07,D
MMM,3M Company,2021-01-01,2025-03-27,34.86,12.79,14.0,8.07,D
MMM,3M Company,2021-02-01,2025-03-27,35.24,12.79,14.0,8.45,D
MMM,3M Company,2021-03-01,2025-03-27,35.24,12.79,14.0,8.45,D
MMM,3M Company,2021-05-01,2025-03-27,34.88,13.2,13.6,8.08,D
MMM,3M Company,2021-09-01,2025-03-27,34.88,13.2,13.6,8.08,D
MMM,3M Company,2022-02-01,2025-03-27,34.88,13.2,13.6,8.08,D
MMM,3M Company,2022-05-01,2025-03-27,33.61,12.33,13.56,7.72,D
MMM,3M Company,2022-08-01,2025-03-27,33.61,12.33,13.56,7.72,D
MMM,3M Company,2023-09-01,2025-03-27,37.35,17.22,13.59,6.54,D
MMM,3M Company,2024-11-01,2025-03-27,40.71,17.19,16.69,6.84,E
MMM,3M Company,2024-12-01,2025-03-27,42.86,19.53,16.82,6.51,E
MMM,3M Company,2025-01-01,2025-03-27,42.86,19.53,16.82,6.51,E
MMM,3M Company,2025-02-01,2025-03-27,42.86,19.53,16.82,6.51,E
MMM,3M Company,2025-03-01,2025-03-27,42.86,19.53,16.82,6.51,E
ABT,Abbott Laboratories,2020-01-01,2025-03-27,30.62,3.74,15.31,11.58,D
ABT,Abbott Laboratories,2020-02-01,2025-03-27,30.63,3.74,15.31,11.58,D
ABT,Abbott Laboratories,2020-03-01,2025-03-27,31.26,3.74,15.94,11.58,D
ABT,Abbott Laboratories,2020-07-01,2025-03-27,29.83,2.98,16.21,10.63,C
ABT,Abbott Laboratories,2020-08-01,2025-03-27,29.83,2.98,16.21,10.63,C
ABT,Abbott Laboratories,2020-10-01,2025-03-27,29.85,2.98,16.21,10.65,C
ABT,Abbott Laboratories,2021-01-01,2025-03-27,29.85,2.98,16.21,10.65,C
ABT,Abbott Laboratories,2021-02-01,2025-03-27,29.85,2.98,16.21,10.65,C
ABT,Abbott Laboratories,2021-03-01,2025-03-27,29.85,2.98,16.21,10.65,C
ABT,Abbott Laboratories,2021-05-01,2025-03-27,29.98,3.11,16.21,10.65,C
ABT,Abbott Laboratories,2021-09-01,2025-03-27,25.96,3.03,13.54,9.39,C
ABT,Abbott Laboratories,2022-02-01,2025-03-27,25.96,3.03,13.54,9.39,C
ABT,Abbott Laboratories,2022-05-01,2025-03-27,25.96,3.03,13.54,9.39,C
ABT,Abbott Laboratories,2022-08-01,2025-03-27,24.98,3.03,13.59,8.36,C
ABT,Abbott Laboratories,2023-09-01,2025-03-27,24.83,2.27,14.24,8.33,C
ABT,Abbott Laboratories,2024-11-01,2025-03-27,22.21,1.81,13.84,6.56,C
ABT,Abbott Laboratories,2024-12-01,2025-03-27,22.21,1.81,13.84,6.56,C
ABT,Abbott Laboratories,2025-01-01,2025-03-27,22.21,1.81,13.84,6.56,C
ABT,Abbott Laboratories,2025-02-01,2025-03-27,21.62,1.81,13.77,6.05,C
ABT,Abbott Laboratories,2025-03-01,2025-03-27,21.62,1.81,13.77,6.05,C
ABBV,AbbVie Inc.,2020-01-01,2025-03-27,30.35,0.96,16.54,12.84,D
ABBV,AbbVie Inc.,2020-02-01,2025-03-27,30.35,0.96,16.54,12.84,D
ABBV,AbbVie Inc.,2020-03-01,2025-03-27,30.35,0.96,16.54,12.84,D
ABBV,AbbVie Inc.,2020-07-01,2025-03-27,30.19,0.96,16.53,12.69,D
ABBV,AbbVie Inc.,2020-08-01,2025-03-27,31.26,0.96,18.01,12.28,D
ABBV,AbbVie Inc.,2020-10-01,2025-03-27,30.86,0.96,18.15,11.75,D
ABBV,AbbVie Inc.,2021-01-01,2025-03-27,29.07,0.65,17.09,11.33,C
ABBV,AbbVie Inc.,2021-02-01,2025-03-27,29.07,0.65,17.09,11.33,C
ABBV,AbbVie Inc.,2021-03-01,2025-03-27,29.07,0.65,17.09,11.33,C
ABBV,AbbVie Inc.,2021-05-01,2025-03-27,29.07,0.65,17.09,11.33,C
ABBV,AbbVie Inc.,2021-09-01,2025-03-27,27.38,0.65,16.64,10.1,C
ABBV,AbbVie Inc.,2022-02-01,2025-03-27,28.01,1.12,16.92,9.98,C
ABBV,AbbVie Inc.,2022-05-01,2025-03-27,28.01,1.12,16.92,9.98,C
ABBV,AbbVie Inc.,2022-08-01,2025-03-27,27.84,1.12,16.77,9.95,C
ABBV,AbbVie Inc.,2023-09-01,2025-03-27,29.93,2.38,17.19,10.36,C
ABBV,AbbVie Inc.,2024-11-01,2025-03-27,26.1,1.78,15.7,8.62,C
ABBV,AbbVie Inc.,2024-12-01,2025-03-27,26.1,1.78,15.7,8.62,C
ABBV,AbbVie Inc.,2025-01-01,2025-03-27,26.1,1.78,15.7,8.62,C
ABBV,AbbVie Inc.,2025-02-01,2025-03-27,25.97,1.78,15.71,8.48,C
ABBV,AbbVie Inc.,2025-03-01,2025-03-27,23.87,2.36,14.88,6.63,C
ACN,Accenture plc,2020-01-01,2025-03-27,15.32,0.96,8.19,6.17,B
ACN,Accenture plc,2020-02-01,2025-03-27,15.45,0.96,8.19,6.3,B
ACN,Accenture plc,2020-03-01,2025-03-27,15.45,0.96,8.19,6.3,B
ACN,Accenture plc,2020-07-01,2025-03-27,11.24,0.55,4.98,5.71,B
ACN,Accenture plc,2020-08-01,2025-03-27,11.24,0.55,4.98,5.71,B
ACN,Accenture plc,2020-10-01,2025-03-27,11.24,0.55,4.98,5.71,B
ACN,Accenture plc,2021-01-01,2025-03-27,11.31,0.55,4.98,5.78,B
